Thuật ngữ,Định nghĩa
Nam châm,"Những vật có từ tính, có khả năng hút sắt hoặc các vật liệu từ khác. Mỗi nam châm luôn có hai cực: Bắc (N) và Nam (S)."
Vật liệu từ tính,"Các vật liệu có tương tác lực từ với nam châm, tiêu biểu như sắt, thép, cobalt, và nickel."
Từ trường,"Vùng không gian bao quanh nam châm hoặc dây dẫn mang dòng điện, nơi các vật liệu từ chịu tác dụng của lực từ."
Từ phổ,"Hình ảnh trực quan của các đường sức từ, được tạo ra bằng cách rắc mạt sắt trong từ trường."
Trao đổi chất,Quá trình cơ thể lấy các chất cần thiết từ môi trường và thải các chất cặn bã ra ngoài.
Quang hợp,"Quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ (glucose) từ nước và carbon dioxide, giải phóng oxygen."
Hô hấp tế bào,Quá trình phân giải chất hữu cơ để giải phóng năng lượng (ATP và nhiệt) cung cấp cho các hoạt động sống của tế bào.
Khí khổng,"Các lỗ nhỏ nằm trên biểu bì lá, thực hiện chức năng trao đổi khí và thoát hơi nước."
Lục lạp,"Bào quan chứa chất diệp lục trong tế bào thịt lá, là nơi diễn ra quá trình quang hợp."
Ti thể,"Bào quan trong tế bào sinh vật nhân thực, nơi diễn ra quá trình hô hấp tế bào để tạo năng lượng."
Hóa năng,Dạng năng lượng dự trữ trong các liên kết hóa học của chất hữu cơ (như glucose).