Mỗi thanh nam châm bất kỳ luôn có bao nhiêu cực từ?,Hai cực từ.
"Các vật liệu như sắt, thép, cobalt, nickel được gọi chung là vật liệu có _____.",từ tính
"Cao su, giấy và vải có tương tác từ với nam châm không?","Không, đây là các vật liệu không có từ tính."
Hiện tượng gì xảy ra khi đưa hai cực khác tên của hai thanh nam châm lại gần nhau?,Hai thanh nam châm sẽ hút nhau.
"Khi đưa hai cực cùng tên của hai thanh nam châm lại gần nhau, chúng sẽ _____.",đẩy nhau
Vị trí nào trên thanh nam châm có lực hút sắt mạnh nhất?,Hai đầu cực từ.
"Nếu bẻ gãy một thanh nam châm, ta có thể tách riêng cực Bắc và cực Nam ra khỏi nhau không?","Không, mỗi phần bị bẻ gãy vẫn sẽ có đủ hai cực từ."
Khái niệm: Từ phổ,Hình ảnh các mạt sắt sắp xếp xung quanh nam châm cho ta hình ảnh trực quan về từ trường.
"Trong từ phổ, mật độ các mạt sắt cho biết điều gì về từ trường tại vị trí đó?","Mạt sắt dày thì từ trường mạnh, mạt sắt thưa thì từ trường yếu."
Quy ước về chiều của đường sức từ ở bên ngoài thanh nam châm là gì?,Đi ra từ cực Bắc và đi vào cực Nam.
Đường sức từ được dùng để biểu diễn _____.,từ trường
Từ trường tồn tại trong vùng không gian bao quanh vật nào?,Xung quanh nam châm hoặc dây dẫn mang dòng điện.
Làm thế nào để tạo ra hình ảnh từ phổ của một nam châm?,Rắc đều mạt sắt lên tấm nhựa đặt trên nam châm rồi gõ nhẹ.
Hiện tượng gì xảy ra với kim nam châm khi đặt song song với dây dẫn và đóng mạch điện?,Kim nam châm bị lệch khỏi vị trí ban đầu.
"Trong y tế, dụng cụ nào được dùng để lấy các mạt sắt nhỏ ra khỏi mắt bệnh nhân một cách an toàn?",Nam châm điện.
Mối quan hệ giữa cực Bắc địa từ và cực Bắc địa lí của Trái Đất là gì?,Chúng không trùng nhau.
Quá trình cơ thể lấy các chất từ môi trường và thải các chất cặn bã ra ngoài gọi là _____.,trao đổi chất
Tốc độ trao đổi chất của vận động viên khi thi đấu so với khi nghỉ ngơi như thế nào?,Cao hơn.
Cơ quan chính thực hiện chức năng quang hợp ở đa số thực vật là _____.,lá cây
"Trong quá trình quang hợp, năng lượng ánh sáng được chuyển hóa thành dạng năng lượng nào?",Hóa năng (trong các hợp chất hữu cơ).
Viết phương trình chữ của quá trình quang hợp.,$Nước + Carbon\ dioxide \xrightarrow[Diệp\ lục]{Ánh\ sáng} Glucose + Oxygen$
Bào quan nào trong tế bào thịt lá chứa sắc tố hấp thụ năng lượng ánh sáng?,Lục lạp.
Đặc điểm nào của phiến lá giúp cây thu nhận được nhiều ánh sáng nhất?,Dạng bản dẹt và diện tích bề mặt rộng.
Nêu chức năng của hệ thống gân lá trong quá trình quang hợp.,Dẫn nước đến lá và dẫn các sản phẩm quang hợp đến các cơ quan khác.
Khí khổng nằm ở bộ phận nào của lá và có vai trò gì?,"Nằm ở lớp biểu bì, giúp trao đổi khí và thoát hơi nước."
Tại sao các lá trên cành thường xếp so le nhau?,Để tránh che khuất nhau và giúp mọi lá nhận được nhiều ánh sáng nhất.
Kể tên 4 yếu tố chính từ môi trường ảnh hưởng đến quang hợp.,"Ánh sáng, nước, hàm lượng khí $CO_{2}$ và nhiệt độ."
Thực vật có vai trò gì trong việc điều hòa nồng độ $CO_{2}$ và $O_{2}$ trong khí quyển?,Quang hợp giúp hấp thụ $CO_{2}$ và giải phóng $O_{2}$.
"Ở cây xương rồng, bộ phận nào thực hiện quá trình quang hợp thay cho lá?",Thân cây.
Khái niệm: Hô hấp tế bào,"Quá trình phân giải chất hữu cơ tạo thành $CO_{2}$, nước và giải phóng năng lượng cho các hoạt động sống."
Bào quan nào là nơi diễn ra quá trình hô hấp tế bào ở sinh vật nhân thực?,Ti thể.
Chất hữu cơ chủ yếu được phân giải trong hô hấp tế bào là _____.,glucose
Viết phương trình chữ của quá trình hô hấp tế bào.,$Glucose + Oxygen \rightarrow Carbon\ dioxide + Nước + Năng\ lượng\ (ATP + nhiệt)$
Quá trình hô hấp tế bào chuyển hóa hóa năng trong chất hữu cơ thành những dạng năng lượng nào?,Năng lượng hóa học ($ATP$) và nhiệt năng.
Nhiệt độ thuận lợi nhất cho quá trình hô hấp ở sinh vật thường nằm trong khoảng nào?,$25^{\circ}C$ đến $30^{\circ}C$.
Cường độ hô hấp ở thực vật sẽ giảm mạnh khi nồng độ oxygen trong không khí xuống dưới mức bao nhiêu?,Dưới $5\%$.
Tại sao cần sấy khô hạt giống trước khi cho vào lọ kín để bảo quản?,"Hàm lượng nước thấp làm giảm cường độ hô hấp, giúp hạt sống tiềm sinh lâu hơn."
Tại sao không nên để nhiều hoa hoặc cây xanh trong phòng ngủ đóng kín cửa vào ban đêm?,"Vì ban đêm cây hô hấp lấy oxygen và thải carbon dioxide, dễ gây ngạt thở."
"Mục đích của việc cày bừa, xới đất trong trồng trọt là gì?","Giúp đất tơi xốp, chứa nhiều không khí để rễ cây hô hấp tốt."
Mỗi khí khổng được cấu tạo bởi bao nhiêu tế bào hình hạt đậu?,Hai tế bào.
Mô tả đặc điểm thành tế bào của tế bào hình hạt đậu cấu tạo nên khí khổng.,Thành trong dày và thành ngoài mỏng.
"Trong quá trình quang hợp, các chất khí khuếch tán qua khí khổng theo chiều nào?",$CO_{2}$ khuếch tán vào trong lá và $O_{2}$ khuếch tán ra ngoài môi trường.
Nguyên lí bảo quản thực phẩm bằng nồng độ $CO_{2}$ cao là gì?,"Nồng độ $CO_{2}$ cao gây ức chế quá trình hô hấp tế bào, kéo dài thời gian bảo quản."
Năng lượng ánh sáng trong quang hợp được dự trữ dưới dạng năng lượng _____ trong glucose.,hóa năng
Lấy một ví dụ về cây ưa bóng có nhu cầu ánh sáng thấp.,Cây lá lốt hoặc cây dương xỉ.
Tại sao việc trồng cây xanh ở công viên lại giúp làm sạch không khí?,"Cây hấp thụ $CO_{2}$, giải phóng $O_{2}$ và có khả năng cản bụi."
Mối quan hệ giữa quang hợp và hô hấp tế bào là gì?,Sản phẩm của quang hợp là nguyên liệu cho hô hấp và ngược lại.
"Khi đóng mạch điện, tại sao kim nam châm lại bị lệch?",Dòng điện chạy qua dây dẫn tạo ra từ trường tác dụng lực từ lên kim nam châm.
Vật liệu từ nào thường được dùng làm lõi của nam châm điện?,Sắt (hoặc thép).
Cấu tạo của khí khổng cho phép nó thực hiện chức năng thoát hơi nước bằng cơ chế nào?,Sự đóng mở của khe khí khổng dựa trên sự thay đổi độ trương nước của hai tế bào hạt đậu.